Handle,Titulo,Unidad Académica,Tipo
10915/52925,Biología Acuática,Facultad de Ciencias Naturales y Museo,Revista
10915/46701,Bit &amp; Byte,Facultad de Informática,Revista
10915/53696,Bold,Facultad de Bellas Artes,Revista
10915/456,Boletín Bibliotecológico de La Plata,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/18566,Boletín de Arte,Facultad de Bellas Artes,Revista
10915/819,Boletín de Historia Social Europea,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/71,Boletín de la Asociación Herpetológica Argentina,Asociación Herpetológica Argentina (AHA),Revista
10915/735,Boletín del Instituto de Investigaciones Educativas,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/824,Boletín del Instituto de Investigaciones Literarias,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/61192,Boletín Informe Integrar,Facultad de Ciencias Jurídicas y Sociales,Revista
10915/27355,Ciencias Administrativas,Facultad de Ciencias Económicas,Revista
10915/37233,Ciencias Morfológicas,Sociedad de Ciencias Morfológicas de La Plata,Revista
10915/68887,"Ciencia, Tecnología y Política","Cátedra Libre Ciencia, Política y Sociedad (UNLP)",Revista
10915/19778,Clang,Facultad de Bellas Artes,Revista
10915/29089,Clío &amp; Asociados,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/19614,Colección Breviarios,Facultad de Bellas Artes,Revista
10915/63858,Colección Territorios,Facultad de Trabajo Social,Revista
10915/39103,Conclusiones Analíticas,Facultad de Periodismo y Comunicación Social,Revista
10915/62489,Contacto Rural,Facultad de Ciencias Agrarias y Forestales,Revista
10915/1028,Contribución al Estudio de las Ciencias Físicas y Matemáticas,Facultad de Ciencias Exactas,Revista
10915/55315,Con X,Facultad de Periodismo y Comunicación Social,Revista
10915/83,Cuadernos de Herpetología,Asociación Herpetológica Argentina (AHA),Revista
10915/32778,Cuadernos de H Ideas,Facultad de Periodismo y Comunicación Social,Revista
10915/20227,Cuadernos del CISH,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/728,Cuadernos de Lenguas Modernas,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/741,Cuestiones de Sociología,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/940,Derecho y Ciencias Sociales,Facultad de Ciencias Jurídicas y Sociales,Revista
10915/61646,Descentrada,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/68414,Diálogos del Consejo Social,Consejo Social (UNLP),Revista
10915/62157,Dios y el Hombre,"Catedra Libre de Pensamiento Cristiano (UNLP), Seminario Mayor San José (La Plata)",Revista
10915/40378,Doble Vía,Facultad de Arquitectura y Urbanismo,Revista
10915/900,Documentos de Trabajo,Facultad de Ciencias Económicas,Revista
10915/938,Documentos de Trabajo del CEDLAS,Facultad de Ciencias Económicas,Revista
10915/39960,Dramatiza La Plata,Red Nacional de Profesores de Teatro Nodo La Plata,Revista
10915/42607,Econo,Facultad de Ciencias Económicas,Revista
10915/274,Económica,Facultad de Ciencias Económicas,Revista
10915/554,Ecos de Grado y Posgrados,Facultad de Ciencias Económicas,Revista
10915/606,Educación Física y Ciencia,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/250,Educación Médica Permanente,Sociedad de Educación Medica de La Plata (SEMLP),Revista
10915/1004,El Toldo de Astier,Facultad de Humanidades y Ciencias de la Educación,Revista
